,favorites,retweets
1565,329,21
3964,12,2
7949,544,115
6290,74,27
10427,79,6
5775,288,70
9729,418,74
595,1983,143
9402,63,7
4625,5,3
7839,84,12
11305,130,17
2623,247,34
4572,36,4
9029,60,10
10869,633,82
231,4339,799
179,4092,1085
737,54,2
11420,79,5
7745,90,9
10970,325,39
7248,55,4
5880,419,109
8398,2,0
6604,499,66
1321,126,12
1995,265,118
9219,362,50
5636,3849,1305
5835,551,284
800,58,6
9014,1734,123
8051,38,15
7042,9,1
69,3183,365
6029,371,146
7928,44,5
1680,185,18
377,2426,147
1469,132,19
2603,171,38
4181,9,0
9103,696,24
4505,41,0
4230,22,2
3091,10,1
2726,1795,322
477,6585,1293
1329,458,43
2283,1794,750
3732,10,1
11461,358,145
751,446,90
6458,2819,1346
10556,40,3
873,245,37
7372,85,5
10283,2651,436
4564,92,7
1545,124,15
739,1158,204
10169,244,22
2683,232,16
10363,115,6
8797,109,8
7623,3,1
3518,53,2
8153,54,6
2354,888,123
10029,37,3
8944,32,1
773,11064,2706
5020,21,1
10469,164,10
9412,1019,83
641,10426,1408
10579,55,2
5595,1596,323
5817,2230,979
7149,48,5
4309,7,0
865,100,7
7092,11,2
11368,308,21
7307,1118,151
11754,52,2
7001,90,1
9500,38,2
7802,12,0
962,359,20
8828,319,53
11019,641,57
8337,67,0
6648,18,0
3309,19,1
2166,537,113
363,8326,2343
3723,40,4
2825,521,37
3597,42,4
4726,43,0
546,5041,233
2940,919,147
471,10660,2378
1641,200,31
6211,656,214
3338,68,0
5186,1,0
1172,145,18
6769,11,1
11757,118,17
8713,51,4
6427,235,89
11105,40,8
5146,13,1
5292,2506,139
10159,1423,317
1410,238,14
6827,104,9
9951,177,41
9987,14,4
8855,72,1
2694,1280,222
815,153,13
2131,724,151
1797,387,99
4575,4,2
3122,5,0
7139,46,2
4275,0,0
10994,1165,127
9753,1556,232
6418,229,95
10067,182,17
7438,7,1
237,1045,188
1532,1253,263
11189,1153,176
8773,553,15
3410,17,1
2831,118,3
10819,3654,888
1535,399,59
3879,16,0
11613,363,12
1299,174,19
5156,7,1
8511,62,1
1480,133,17
2793,3243,724
6876,83,3
11623,166,45
2329,606,86
6884,26,10
7472,131,12
6537,35,1
10547,135,5
3661,5,0
555,2371,129
4825,12,1
1163,132,12
7058,17,3
4715,24,0
397,5783,733
9247,406,11
7478,79,15
10452,449,149
6030,345,142
7447,73,6
6073,461,175
723,94,4
300,3334,1079
9981,289,24
6083,3,0
4294,48,17
5117,13,1
4185,49,5
6935,9,3
9733,94,10
11688,103,7
3142,194,23
5821,927,175
3205,3,0
4955,11,2
4582,24,4
10762,489,92
11373,255,39
6385,529,173
10023,30,3
1152,545,141
1212,349,45
4503,57,10
11356,182,15
11531,72,8
8674,1374,121
6831,63,11
11566,68,11
665,5694,728
10710,216,8
642,10676,915
10981,61,3
3767,112,8
4272,58,8
5321,8677,645
786,184,32
2857,311,27
3202,167,15
9953,0,0
4187,16,2
11670,130,2
8121,526,34
4824,15,3
2905,887,170
4626,13,3
5470,10816,581
996,40,2
11213,159,2
10853,80,13
6365,107,23
6321,557,177
156,2179,270
8903,50,4
3085,5,0
8295,66,2
1552,295,31
5888,347,83
9336,256,11
3795,45,0
495,2,0
2321,2678,52
8368,179,10
10304,263,30
151,3964,695
5912,62,9
9116,1212,110
6260,314,129
8072,1130,156
1738,229,51
3001,19,2
10539,677,89
7051,8,0
8900,479,31
10701,149,12
2883,218,6
3720,26,6
9881,158,12
10132,713,42
5453,1506,131
7020,2067,462
7213,377,51
2276,270,103
4823,26,1
4704,21,1
4461,12,7
343,4830,663
5924,566,157
4136,28,2
8585,138,4
10888,56,7
6037,68,24
2223,268,80
4196,93,3
7448,130,2
10100,40,6
8262,117,3
5081,14,3
9609,393,92
9003,1883,275
10856,77,2
4734,24,0
6389,153,28
1465,108,3
4593,28,8
2234,195,77
6556,527,95
3903,1011,88
9240,2599,235
11371,229,30
5335,1055,87
10186,17,3
8430,142,43
7130,28,1
4151,28,0
10954,93,8
2121,320,59
5265,3121,308
5012,61,16
11855,117,12
7608,17,0
3161,3,0
2630,338,61
7132,18,3
10110,43,5
8570,723,104
10662,248,24
1203,330,40
7952,28,6
616,6858,399
1926,369,60
3114,46,7
2641,932,19
10655,15,0
2562,364,3
5838,766,255
2728,1272,127
7244,20,3
9440,182,21
2126,51,11
6077,146,58
9796,164,33
6550,19,4
7018,219,13
805,1556,163
4694,1,0
5431,3082,314
5937,334,149
3140,153,24
4280,49,5
8982,286,14
9591,277,51
6543,13,0
547,5,0
26,7510,676
11546,27,3
3918,29,0
4486,71,0
9815,191,31
9495,1876,224
1221,209,39
8489,437,18
2548,1021,50
11717,192,9
437,2651,444
6189,816,398
10810,113,6
7450,21,1
1861,207,93
2699,1276,288
11427,435,17
11713,885,200
2481,509,67
5654,1611,375
11224,191,14
2706,407,68
11418,324,24
326,5785,1037
5135,0,0
2499,923,139
1004,26,3
11325,78,0
6375,117,94
4011,17,0
10626,6352,733
534,5844,1312
7477,20,0
3960,6,0
585,8103,833
9791,152,18
8283,24,4
9157,442,64
6081,4,0
7908,39,14
491,5162,1025
5421,8026,713
10834,162,47
11486,170,5
6682,23,2
9338,44,4
3548,99,10
8645,64,2
1916,134,13
3185,33,0
5426,873,135
1910,410,90
7562,31,5
6005,103,30
1133,725,87
7306,20,1
6872,46,4
2518,1017,99
9709,58,10
1317,57,4
4368,59,5
121,6613,781
9117,69,11
2449,897,57
6345,106,53
6134,117,38
2601,1487,258
1522,250,51
7724,67,1
2173,198,24
3283,17,2
4554,32,4
3605,43,1
10239,408,28
8909,0,0
5858,682,302
10775,570,69
3768,28,2
8012,76,3
8094,1098,173
4038,13,0
3502,88,0
1407,408,49
4631,6,2
5865,1139,250
6712,30,2
4935,43,3
6923,285,11
2579,305,17
8654,603,185
3269,9,0
11353,947,120
1867,230,75
11781,26,3
5847,524,158
2521,3470,326
6292,638,272
1820,1043,292
6326,423,173
51,19864,634
3888,59,2
5187,14,8
7760,12,0
3577,60,15
4565,19,8
9787,130,21
11457,116,15
1858,159,68
7169,81,5
11326,458,20
4961,21,3
7100,28,9
7387,69,1
9343,168,18
10961,802,24
5198,3,2
6947,81,5
425,7444,1501
4284,22,0
10745,352,69
6728,35,2
228,3688,784
11216,179,14
2741,112,2
5137,45,5
10392,449,52
5840,272,48
6925,439,31
2921,6458,1912
8035,7,0
11124,51,10
3653,25,3
10126,98,14
5805,1256,820
1128,163,22
7198,8,0
2331,114,7
2208,682,109
10742,482,119
10575,128,8
6487,11,0
3153,24,3
9799,223,38
9370,1995,179
8490,327,19
11413,481,134
4990,22,2
2374,852,63
1632,85,14
6858,83,3
2298,705,57
11101,43,1
4252,9,1
10032,35,4
2721,490,65
9088,362,28
10244,75,16
8207,59,0
8685,458,6
8825,11,1
8025,138,20
5712,1609,719
5094,12,1
7662,15,0
9490,45,0
7652,11,1
9901,449,73
9665,178,23
2550,255,28
9430,225,21
9191,0,0
938,238,16
7369,43,2
10531,105,7
7609,75,11
11556,12,1
4852,14,3
2644,2590,435
10384,221,18
3165,5,1
3639,0,0
10925,89,9
7535,47,6
2061,415,115
4645,6,0
10099,24,2
2812,601,47
11150,387,44
10260,233,13
10684,728,38
2549,59,2
8394,110,6
6853,124,20
6913,24,2
9614,1343,263
4174,6,1
10401,93,3
1024,73,8
4848,14,1
8481,284,1
7658,17,2
1951,99,17
7065,42,1
351,6541,974
6854,174,8
9340,179,9
4797,18,2
9512,1039,131
3662,15,3
11646,126,13
4657,14,4
5582,2272,551
3150,97,4
6768,15,4
6086,429,75
4813,27,0
7600,196,5
8390,78,1
5143,11,1
2939,1690,169
4510,22,4
1340,353,39
11138,219,45
1391,135,20
7181,124,13
9590,283,25
9237,469,110
8450,171,25
1583,282,50
1412,363,23
5825,1060,529
10398,252,20
2256,712,261
8814,577,4
2212,208,41
2622,232,41
9256,812,58
5417,3117,523
4938,45,1
8692,354,37
3624,14,2
7223,22,1
4267,33,0
11051,254,14
463,3842,479
1754,377,72
6507,31,1
7965,33,7
5711,1434,599
7116,11,1
378,6588,1704
3106,185,10
4803,4,1
1335,199,22
10455,88,8
11519,119,12
2716,1258,281
8752,68,2
6176,15,2
7176,172,12
9937,30,7
10696,174,3
7222,88,23
1811,293,87
7080,4,0
6508,151,20
1894,88,65
10122,50,2
6201,540,235
7204,836,70
6399,290,213
1189,353,27
5194,24,5
11256,91,1
6669,38,0
6244,420,237
3454,75,3
7506,35,5
5662,1568,549
5677,1136,228
5702,5569,2373
8870,915,54
4613,21,7
3992,29,0
10992,83,5
1030,95,16
8961,2,0
2220,253,101
3774,130,5
8451,228,1
9862,97,7
1755,149,26
7104,195,5
8698,53,1
4327,3,0
10148,39,7
110,4060,878
7744,21,0
8824,23,2
2917,648,46
1515,355,26
11227,225,23
10950,172,17
10760,1035,211
9991,1037,271
2263,366,96
6403,143,32
5935,10,4
10087,17,6
9972,49,9
893,513,62
1490,525,133
1850,207,31
7157,29,3
324,9406,175
1215,368,38
2933,935,121
4689,12,1
8803,25,3
8541,178,22
10196,73,11
10908,177,6
11557,310,96
1129,263,18
9586,244,22
2918,1059,45
3084,8,0
4588,160,13
4304,19,0
2795,1765,49
6586,7,0
798,110,8
734,138,9
11622,73,3
2244,714,210
178,4645,375
8240,69,0
9021,97,7
1174,124,7
8254,34,2
1831,379,103
9611,606,107
6798,61,11
11046,176,11
1781,2,0
3201,6,0
198,3221,439
8064,38,0
4087,7,0
5193,32,5
548,6502,1760
3339,31,0
11211,101,6
7655,24,2
6454,353,78
7467,169,15
2532,2079,554
2314,2042,522
8791,1798,72
8468,251,25
9802,318,45
11300,169,15
66,3264,80
5127,0,0
4712,12,2
5214,5,0
3260,40,0
5033,15,2
2572,1739,125
8066,110,3
8558,3551,441
622,6546,446
1681,87,10
787,274,31
3332,11,0
6571,63,8
7038,241,35
10393,859,74
3280,19,0
7532,283,47
10837,127,18
7925,163,11
6755,17,5
10274,345,31
515,4307,870
478,8497,1197
9618,30,7
6729,191,80
8074,52,1
2647,4045,510
9744,2325,387
10731,101,10
7272,54,1
1033,110,12
6649,27,0
2598,833,168
8999,4942,961
8775,289,10
10709,39,1
344,3638,574
5521,4112,453
10490,101,7
1871,115,92
9584,411,47
7085,337,40
3986,22,0
11415,55,8
2888,834,94
11340,941,98
4623,29,3
4818,4,0
220,7989,968
10918,153,12
11358,572,49
9889,2045,169
6517,359,10
5778,625,185
6209,141,42
4016,8,0
8969,68,1
4248,92,19
10873,487,71
8334,1880,143
9959,33,4
6128,142,32
1264,328,44
4241,9,1
5650,2096,584
10938,92,10
10798,630,43
11117,212,15
10907,279,34
11377,383,116
8260,105,3
2881,0,0
1677,48,9
6095,825,465
901,102,5
9090,1545,271
2296,1016,60
3402,157,39
5942,471,111
296,8602,3127
10436,66,4
4153,116,4
9660,4428,686
10507,376,17
27,3101,614
6243,321,154
11329,318,23
3829,26,3
8247,53,0
3248,11,2
8860,1096,205
9418,1617,256
9529,64,6
2580,1074,45
11017,429,62
7779,134,2
7985,37,2
1370,199,30
11716,108,13
9012,5,0
7336,52,0
5551,970,99
6690,9,1
5254,1208,89
681,6280,1105
11061,212,23
4775,41,7
5422,1100,129
3159,19,0
10536,87,4
2987,56,5
4908,100,8
1882,71,8
5747,1228,314
8242,29,0
1940,170,32
3296,78,11
3534,22,0
3729,93,21
490,3672,266
9036,101,3
1181,139,11
1375,386,39
5014,9,1
8672,438,23
6462,313,201
626,4049,666
4758,4,0
2112,506,57
8218,23,0
9934,90,10
1767,594,129
8721,51,3
4180,95,5
9009,5047,372
8146,26,1
1462,346,63
2887,322,47
11814,78,12
684,8480,1042
4539,18,1
4514,26,2
9145,386,50
9356,312,34
1366,152,30
3916,117,9
11652,84,20
2639,1467,514
11244,713,39
5602,6169,2269
10730,125,12
5729,1103,244
5730,1310,417
7113,12,2
8231,792,30
2300,564,53
4787,69,1
2938,1310,162
5659,804,117
8063,237,32
10286,364,26
9895,722,194
1979,366,124
3803,20,0
4534,6,1
6423,453,262
8962,2,0
6478,104,2
9201,908,151
8926,86,5
4800,4,0
2280,327,63
11609,103,19
5872,160,21
4469,26,1
5133,90,15
7299,180,4
998,53,2
4130,15,0
5266,10880,761
8620,1770,203
11657,22,0
1784,1,0
3182,183,11
10296,673,50
494,8371,2677
9026,67,0
9396,179,21
11772,62,2
2860,879,88
2038,4,1
4041,4,0
9125,96,3
2897,185,10
366,5775,901
849,283,16
7364,93,6
9476,820,138
7601,76,3
6088,313,86
2653,2300,547
3503,66,0
1541,454,49
5896,715,265
10534,65,5
322,7526,1028
2031,170,61
10694,784,50
6717,8,1
813,73,6
2528,1750,423
11142,105,11
6962,5,0
11611,74,1
11359,602,9
5274,1907,164
1079,55,7
2226,519,65
9290,1482,272
11719,165,44
7915,52,11
2705,1458,250
8902,17,3
6021,365,126
1164,367,35
3261,73,13
6001,215,28
5940,323,94
1450,622,66
4229,21,0
3862,1,0
2936,922,238
9603,415,40
3917,22,2
5487,3415,452
7495,34,4
11777,54,5
1723,103,22
8765,943,303
6372,422,152
4056,4,0
11302,137,11
2999,4,1
8745,37,1
10717,95,29
1231,338,35
1514,625,106
2313,970,149
1451,468,109
9265,0,0
8109,88,2
10130,48,10
4321,6,0
8697,571,29
838,222,7
11784,49,18
7868,138,5
3899,27,0
10096,58,14
3567,47,0
11009,1015,117
5452,6527,504
3087,36,1
7645,48,3
10269,245,3
4546,2,1
4692,3,2
1714,111,16
4270,36,2
339,15332,4092
9772,666,152
4086,1,0
7261,47,2
9671,52,3
8777,105,9
588,9577,1737
3365,33,0
2670,824,751
5515,1889,226
3589,46,8
34,4245,192
28,4432,808
2395,290,17
9282,1660,113
11641,66,8
5506,9886,1913
6504,14,1
2170,142,35
7293,121,3
8111,116,7
889,279,73
3878,72,2
3322,2,0
11167,290,21
3514,141,5
8391,166,17
11012,902,39
5673,31060,17207
9001,5425,608
3733,37,3
6670,96,2
11249,42,1
9058,163,11
4528,11,1
1654,241,31
7315,17,3
10419,122,4
223,5349,845
10243,628,58
9793,354,59
6286,273,171
4239,5,0
5882,825,393
1590,136,12
8344,115,4
3256,110,13
6561,13,0
9711,45,4
2181,502,158
9254,182,18
8890,1900,242
7884,193,8
7019,119,2
8990,73,6
8877,1134,102
4817,19,0
11433,3200,1458
6408,1283,547
1209,164,22
6108,51,8
421,6368,911
10391,86,6
1706,151,22
1158,224,19
2306,1402,78
273,2721,372
171,682,57
3956,5,1
5606,16074,4233
7030,25,4
4865,81,4
9832,425,34
3188,4,0
1725,216,54
6085,6,0
8027,22,5
1564,654,190
1782,607,171
843,102,8
11109,1300,113
6330,405,98
904,217,51
3494,5,0
11495,318,31
7259,90,6
1547,234,24
2080,577,125
9085,275,21
8910,1011,120
11230,448,107
3985,5,0
8603,1780,170
7443,12,1
8473,30,1
8727,733,89
10256,198,17
4677,3,2
3820,12,1
5209,23,2
2646,1514,132
6636,136,12
9113,214,11
10890,616,47
256,1177,76
9019,947,28
4350,36,1
8396,46,0
6580,51,4
5923,357,150
2155,245,77
8689,4650,466
10562,178,33
3715,18,0
4057,9,1
10592,36,4
9854,162,24
3622,13,0
5648,1628,323
7881,41,1
3102,33,3
558,3806,253
9704,53,4
6196,9,0
1436,155,24
507,7753,2483
5275,2417,280
4472,69,3
1869,1412,499
5663,11353,4109
6325,198,62
5930,520,115
10887,126,7
755,445,36
7698,71,5
4050,12,2
7463,1124,116
3836,39,1
4386,31,0
6618,21,0
2118,764,196
9164,308,20
729,134,7
501,3282,497
9486,394,45
643,7805,205
10237,1000,127
1539,298,66
8447,3743,388
1211,289,29
8778,130,17
10833,87,5
672,4795,969
4915,11,1
6127,194,58
3377,9,1
4476,78,1
5615,2322,429
10442,106,1
1464,281,32
4745,11,2
10601,27,1
1192,165,25
3793,24,1
1872,261,34
3590,8,1
3158,47,3
9602,1639,118
505,2903,443
243,1191,149
5678,3277,1909
506,1376,79
9722,57,10
8819,150,29
7894,27,3
11332,220,8
8151,28,2
7090,136,8
1773,151,40
8360,225,34
8030,659,117
6965,21,1
9712,71,12
797,112,9
3618,9,1
2381,340,8
2829,825,177
7040,159,31
11075,152,7
10387,200,11
4633,29,6
312,3840,670
746,341,27
3569,21,0
790,161,18
2476,1649,160
6794,241,52
11084,28,3
2570,493,30
5753,443,107
7516,92,22
8046,93,2
7402,13,0
4355,25,4
2163,709,90
9639,1656,116
8897,49,4
380,5187,1336
10815,104,5
1292,520,123
1912,190,64
6485,105,4
599,2217,174
3892,16,1
4141,38,0
5540,7675,2008
1652,509,100
10287,199,23
9373,480,56
1893,73,55
1944,112,113
3395,63,8
11648,10,1
4362,32,6
11610,340,40
375,9565,1717
1966,3,1
3957,52,1
10426,0,0
4423,7,0
5351,22304,3587
5696,2814,824
1243,365,46
8665,90,1
11262,0,0
6391,148,35
7332,25,4
8134,276,7
1471,226,38
3346,20,0
4522,47,13
2657,2028,150
2853,5078,488
4506,8,1
11264,876,367
11551,190,22
11617,54,8
4045,3,0
4062,11,1
5326,1506,89
7366,113,14
8971,66,1
9926,54,8
4306,131,28
5139,14,1
6920,26,2
11468,63,13
7497,87,8
3990,6,0
1049,288,28
3823,35,2
11162,462,51
10705,136,5
2035,263,67
4039,21,1
7435,47,6
8206,200,67
11119,304,48
1972,176,64
6775,80,4
2099,406,79
1499,78,13
5205,12,2
3512,79,2
8336,17,2
652,1554,50
170,3246,94
4085,12,0
242,5332,361
9386,502,50
5798,1801,704
8090,102,1
4371,21,1
1644,54,7
5594,3158,273
2756,1052,158
7487,49,3
10502,69,6
7729,146,4
5231,12,2
2076,350,74
4103,94,11
11361,108,31
3996,44,0
4801,22,3
5968,554,206
7571,22,1
6951,45,4
9202,1178,231
9053,272,16
6836,265,14
11140,107,13
6725,34,4
7598,75,2
5849,1497,1576
7095,12,1
11536,279,29
10252,263,18
4661,11,1
4078,9,2
6054,20,4
10037,60,13
5974,682,468
640,1128,202
1270,467,62
2778,1477,294
7471,44,7
4932,7,0
6060,20,4
1985,115,54
3861,31,6
3480,37,4
1534,2236,523
325,8136,542
5764,27,6
2338,1527,296
3980,12,1
8938,88,2
8661,3883,480
4054,5,1
2237,301,63
5229,5,1
9073,641,35
4571,36,8
11492,102,0
5474,14396,2805
10433,272,22
864,212,26
8059,378,21
4942,22,2
7819,58,8
6010,383,146
7384,41,7
371,8169,1698
8539,82,10
9069,275,19
8107,141,2
7258,98,7
10812,561,78
8297,266,9
11034,246,26
9297,153,21
11642,213,82
9811,829,274
5830,824,494
2364,128,11
3213,3,0
5456,5049,688
911,173,17
10743,476,100
10362,42,0
3789,36,2
11619,96,5
10008,110,11
5581,1639,384
6526,208,17
11050,137,5
9672,310,44
5060,16,2
1423,507,49
11654,134,10
479,1493,95
662,3395,683
8471,34,3
10670,149,4
9658,3085,268
2988,12,0
1119,150,13
2776,125,12
4535,5,1
10551,92,5
8464,26,2
7093,32,2
9891,55,9
9459,292,17
7250,30,4
5573,3408,204
6135,232,94
5269,4310,518
4427,9,1
9275,88,10
5247,10,1
6785,77,10
3981,22,1
8578,1777,197
11315,95,8
2893,1354,106
2669,840,253
3977,34,0
8144,103,1
279,3655,628
9387,326,64
8840,82,2
10728,281,12
9025,512,16
5197,25,1
4664,6,0
1694,241,27
10586,213,19
5018,2,1
6133,6,1
3479,41,5
5554,1800,275
4416,8,0
11063,167,30
4155,5,1
4883,24,0
5807,556,122
3809,29,0
7566,278,44
10236,544,59
9483,34,3
4296,120,20
6521,30,2
4683,7,1
10878,71,4
11365,101,20
6877,74,7
5593,4684,353
2209,755,141
9380,421,28
11057,372,21
5402,1168,157
7807,92,18
4563,65,14
184,4359,128
6818,19,4
6878,114,3
4516,533,143
2350,253,34
553,3432,291
1397,300,30
1384,580,116
11774,86,7
10548,196,18
5856,676,343
4903,11,3
297,12241,689
443,1000,76
11108,200,18
5215,21,2
9225,453,25
9532,70,8
2077,322,67
6017,1126,1014
4751,199,11
9501,4049,521
2229,391,109
2842,2169,365
2537,334,28
194,10523,1465
9856,1153,90
7656,399,69
817,181,33
3367,32,0
10115,97,17
2578,99,3
1131,264,34
6624,37,1
5505,14143,1215
6939,19,1
6842,18,2
9199,403,203
320,7090,1727
1371,504,47
4042,64,4
10818,769,144
7305,182,14
907,194,14
305,2352,225
3950,14,0
5529,2310,216
6821,8,0
10560,65,7
11608,164,24
7063,36,6
11335,517,79
8410,192,21
9980,91,3
926,365,38
244,4659,1188
15,801,89
143,3197,421
5983,345,276
2363,670,92
8728,75,4
129,3341,78
1161,337,47
8274,79,4
11640,146,10
11018,118,15
6625,9,0
9392,468,72
8826,242,28
5458,14729,2755
10923,231,34
5308,2458,145
1876,385,131
2488,600,57
6747,28,2
4479,14,1
1182,74,8
2525,1293,80
8014,38,2
1170,1322,171
10324,67,17
2182,383,76
11342,337,32
6464,423,332
8732,88,8
7284,73,2
3371,40,5
9636,1151,137
1859,64,42
6897,48,5
6778,361,74
7533,34,3
1878,245,76
6902,47,4
3588,4,0
10844,463,27
3121,2,0
387,2908,118
1311,112,6
1032,236,24
9517,261,10
7964,278,17
6382,441,139
7502,27,3
7292,32,5
4936,6,0
931,272,60
7886,12,1
4019,13,0
691,6932,561
9317,2636,1321
5987,221,41
6364,169,27
1909,246,148
829,123,12
3498,36,0
2081,543,155
10585,69,4
11220,250,56
44,4717,264
3939,32,0
7474,93,15
11667,147,29
4319,7,0
2965,13,0
3969,10,0
1187,200,27
10638,129,4
7542,39,1
9252,95,9
9120,945,62
284,1565,254
10542,194,5
6308,489,287
4159,32,2
3092,13,0
11370,52,9
4556,3,1
8045,0,0
6502,121,1
4323,230,15
8375,20,4
10407,1794,304
3364,23,0
1404,1863,338
3195,7,1
8104,150,13
10327,91,3
969,238,29
9656,502,33
3734,92,23
925,182,22
11286,339,15
8638,1261,149
4725,8,2
11811,62,4
2851,2288,946
9798,79,6
9938,124,6
5956,694,178
519,2130,292
10533,192,10
9982,47,6
4471,24,1
10737,348,20
4348,0,0
10667,85,12
11714,808,158
3626,73,0
1789,154,27
9839,241,52
2059,461,65
10299,284,34
9834,46,4
4013,7,0
6006,81,44
1902,113,62
6215,144,41
4686,29,1
7914,76,3
4922,6,0
7969,128,5
7420,12,2
10600,50,4
75,1395,29
2345,326,65
6447,7,0
10740,54,18
430,9569,2783
4586,5,3
5483,5755,956
9866,3,1
8084,420,48
7153,69,8
6676,28,1
9700,1,0
9124,85,4
1553,156,25
5874,345,69
240,6344,452
783,215,22
9884,151,18
3066,18,2
11593,76,3
977,81,7
4905,118,45
6264,541,177
8917,84,4
5695,5397,2997
2941,2354,573
9813,51,5
7633,208,4
10125,236,55
7692,5,0
1620,97,15
5642,1723,214
11879,84,19
2146,132,46
1801,162,71
2095,511,117
8753,81,3
11501,126,13
1357,249,42
9649,141,17
10917,279,41
9931,61,8
6791,219,22
7764,157,8
3565,3,0
11800,99,7
10425,243,18
10157,236,34
1609,142,22
3096,26,0
7855,342,131
2415,1424,59
2017,120,43
2971,19,1
6424,291,202
4125,64,8
5846,1924,623
5375,792,137
11681,352,52
11392,56,2
3246,59,4
124,5324,625
1106,541,53
11098,62,17
8925,345,29
840,467,53
6394,775,303
9363,406,29
5649,2118,487
10876,94,3
3341,35,1
598,8953,1884
2123,386,58
5512,2185,226
8342,39,0
11465,1390,106
8523,72,11
10333,72,2
11484,66,2
5999,573,351
2197,485,113
4051,6,0
1216,275,35
3362,66,1
2501,1110,119
725,181,14
7981,65,3
978,650,43
808,111,11
11274,85,2
1475,1538,253
11423,392,46
6671,300,55
9037,41,3
4906,67,13
10009,849,47
11707,83,17
4930,74,20
4542,10,2
3962,1,0
9231,467,70
2671,258,42
6964,84,9
1235,134,18
1225,305,26
1764,747,135
10623,607,54
9462,4377,353
6825,19,2
9790,457,124
6661,186,39
3217,16,3
5737,4090,1616
287,2919,605
9703,68,17
2966,15,3
3164,535,70
8362,41,0
10561,3222,529
1657,231,30
1975,648,86
2397,140,6
452,6244,1522
2710,3785,685
10881,187,27
6660,37,0
3681,30,0
422,6280,445
8384,116,4
5316,2123,269
657,2034,102
3301,21,0
8249,70,11
2845,94,13
4066,5,0
9319,470,38
5244,12,0
1001,167,26
4198,47,2
2418,2428,500
875,238,24
7514,14,1
3847,120,1
961,163,21
1580,124,17
11634,217,28
7182,730,44
2206,553,133
4266,8,0
11422,97,19
11791,60,18
4231,0,0
757,225,23
4866,5,1
5406,1231,127
5313,12745,2407
2284,388,74
8796,129,12
7046,70,4
5507,14328,3158
5309,11300,2813
8919,578,26
4827,6,0
9045,180,23
7168,50,4
807,756,139
3907,19,1
6141,4,1
7310,39,10
10390,3552,275
1956,492,135
2445,3173,599
8279,135,17
9705,168,18
11586,233,29
9702,0,0
2402,152,8
11788,78,4
1073,1886,221
10263,174,11
3398,123,10
4240,43,3
6524,42,5
5436,3112,388
7433,8,0
10102,53,3
2091,354,52
4527,48,0
11882,359,62
1698,169,25
8883,650,37
9966,502,97
9270,29,3
6706,41,7
9482,72,8
1003,124,17
10803,102,12
9890,589,44
11321,586,142
4651,8,1
9935,26,1
7550,22,2
6156,485,115
1485,1169,183
11760,132,7
5368,901,213
1411,1327,212
6289,118,59
11210,55,9
10895,282,36
7627,43,1
709,199,21
11702,93,3
3603,77,1
985,283,35
3076,14,0
6169,454,153
11706,162,31
8303,85,3
6713,57,2
5077,5,2
4101,5,0
7257,38,1
2722,2606,471
11184,312,9
1268,290,29
2462,490,34
7759,49,0
268,1821,66
3580,9,1
4750,10,0
7602,29,1
7008,118,7
7325,43,1
7302,482,57
8756,661,12
2821,1094,152
7719,806,192
589,3891,207
8330,18,0
10673,67,4
7466,91,11
656,1612,75
9648,171,25
9414,103,11
2037,471,168
7757,37,2
10691,280,65
3758,10,0
6151,295,99
7453,29,0
2028,393,133
8899,1852,140
677,5787,421
8165,22,1
1232,415,51
5454,8717,1510
7528,78,0
9281,1117,207
10546,496,43
4856,29,0
8192,23,1
2432,851,62
8552,1625,147
8431,3183,673
4647,46,0
9413,196,14
7171,31,5
896,352,11
1611,137,21
1587,224,32
6686,20,1
11572,243,23
7824,733,43
1719,110,19
7047,18,1
3806,24,0
8367,211,9
7864,216,23
4701,43,4
3961,12,1
7696,33,4
5557,1001,130
5564,777,72
9234,533,107
10051,114,36
6087,51,26
890,68,3
7089,47,0
10697,175,7
4006,1,0
4939,64,3
9438,295,24
7234,58,6
5898,175,52
6173,156,43
8974,57,6
5819,752,465
8885,530,40
8170,25,3
2799,395,41
10056,1978,376
584,6600,355
3268,12,0
3932,54,1
4965,26,4
1260,272,36
11875,74,6
6199,496,255
6692,33,6
310,2371,118
1716,262,30
7012,17,2
6009,22,5
2052,442,121
8284,202,20
4668,6,0
4298,34,1
6646,29,4
3783,5,0
1008,105,5
11724,287,33
2185,486,82
3623,10,4
11631,151,16
6983,22,0
11498,48,13
8424,378,24
7865,77,8
4834,197,17
4059,69,5
4756,10,1
7203,199,27
90,4012,445
1987,170,53
470,3438,629
1326,459,66
8239,478,34
9557,371,32
2117,135,36
2937,557,109
888,318,47
983,90,8
8991,294,0
8686,1657,123
10217,1351,82
2925,230,23
10532,202,23
3214,276,25
5884,505,113
2341,868,67
8548,0,0
7801,52,5
9035,361,64
9081,2873,876
9389,788,115
6955,70,8
627,6699,708
7780,37,2
4947,20,0
5080,2,1
4244,46,8
7273,30,4
4765,42,6
1601,253,18
11408,99,20
1269,326,30
128,1615,36
9507,59,8
8285,145,2
1711,297,37
4182,14,0
9620,39,9
4235,25,0
9663,153,11
2398,1647,47
10631,135,10
8760,94,8
7716,171,19
8388,67,2
10180,57,9
1186,222,38
10219,60,8
11638,41,4
11549,44,1
1977,358,140
5314,7327,593
11753,140,6
4247,38,0
9423,90,3
915,110,6
1305,524,56
7740,647,30
3049,8,0
