,favorites,retweets
10986,306,42
6053,339,140
4832,36,3
3508,45,5
2413,445,32
4256,25,0
8978,85,3
10653,190,7
9192,8,0
8513,374,33
871,88,4
9559,1350,49
1263,327,37
1618,351,32
6703,28,2
11320,201,10
10991,82,4
8147,94,3
8805,1216,202
9322,668,82
1220,226,25
3495,15,0
1765,432,58
9883,1146,126
2456,69,6
5523,2919,295
8817,4,0
2001,606,201
1513,101,10
4353,3,0
2801,893,129
3635,38,0
6715,0,0
2523,742,95
8408,33,1
8532,54,3
9128,600,22
7625,31,1
10857,95,14
3910,30,3
3078,250,16
8397,98,9
11354,264,16
10515,178,4
4091,12,0
10325,548,28
2110,232,32
6182,17,5
2375,528,22
9059,264,8
9581,695,118
9695,457,29
3685,61,2
3833,4,1
5076,16,1
10064,40,8
6824,181,27
5903,296,44
617,2226,388
9070,672,57
3746,17,2
5597,18980,5860
8065,88,0
8908,776,69
2652,462,47
9661,722,87
10744,3360,192
745,382,40
11645,112,10
2004,213,115
10208,143,19
4477,55,5
11357,234,19
3047,10,0
11161,163,8
10526,98,2
1336,774,93
5972,967,495
7180,25,0
5168,11,1
6366,4,0
3973,4,0
5157,11,1
3285,129,26
5176,2,0
6856,219,17
8602,1047,77
1313,92,5
4420,11,0
11527,569,127
5382,1402,233
2903,768,79
9330,69,3
6896,296,31
3333,30,0
6200,438,370
3837,6,0
5589,6600,2203
3053,41,0
8818,269,20
976,262,28
11324,459,79
4609,47,5
653,1684,608
9617,109,12
2269,341,61
5061,3,0
7636,623,100
4526,62,6
7620,21,2
6730,6,1
8371,685,121
3949,80,3
7354,1977,330
6329,9,1
5013,26,3
611,1151,74
6835,10,1
2114,153,20
9572,1716,305
4561,8,5
5826,377,137
3679,4,0
3166,90,1
2602,533,20
6601,55,4
511,3889,311
8314,489,45
9255,243,35
3015,16,0
10131,112,32
9141,314,21
8931,131,14
8868,131,4
7647,55,5
520,3522,615
8324,474,56
8140,222,28
6805,529,22
8211,43,7
3891,25,0
5749,913,322
8203,323,22
11234,719,142
9928,21,3
11779,111,24
7828,8,0
7771,0,0
1109,399,61
8113,56,3
7820,23,1
1038,131,18
10482,1623,80
20,4945,944
5380,2484,304
9401,331,32
5932,537,158
11258,306,51
9669,419,81
934,77,10
5053,17,1
10735,98,4
7347,53,0
6888,29,0
394,4505,519
8426,64,6
10681,84,9
1737,446,63
2165,567,90
561,5788,1077
3069,88,16
10790,172,23
10955,153,41
9436,123,12
1162,481,46
6347,7,1
8933,390,37
1729,273,32
1527,106,14
4884,5,0
842,196,27
2930,381,90
7711,34,4
58,983,76
5196,4,0
2865,137,12
3784,140,1
6425,26,4
2291,1480,456
5965,924,198
83,5455,1212
5362,11456,2469
11742,73,4
1945,99,35
1649,81,14
9727,391,60
3834,33,1
2724,2442,468
11703,468,222
9277,216,15
414,2308,91
5218,15,2
11289,619,155
2450,452,25
8880,420,14
4864,93,14
8857,198,21
11485,343,17
5883,572,100
3761,13,0
7954,45,0
7456,34,6
11298,74,6
2907,164,22
9269,529,69
7733,130,7
3538,23,2
2133,67,8
1897,792,145
7505,125,4
6421,361,63
9511,42,3
4184,16,2
9216,300,27
8127,114,8
11629,337,57
1817,146,78
11603,31,1
1937,183,130
337,4884,1150
2335,328,24
7772,181,9
2072,387,101
8790,67,7
1726,202,25
8370,206,14
1047,317,24
11047,338,77
8124,272,28
2815,341,16
8159,638,23
9542,406,22
2320,621,15
8180,108,6
4843,1,0
8688,150,10
3386,35,4
3944,8,0
5434,11982,2937
766,263,17
2861,1113,96
8977,30,2
6678,20,0
1144,119,12
9803,41,6
9714,92,24
2510,308,11
7277,28,6
2273,250,70
7677,52,4
5267,5365,531
5985,661,389
7534,72,4
8422,2307,229
9814,97,19
102,1473,76
1989,240,107
4217,30,1
8399,1167,52
7942,140,23
828,164,10
8668,180,8
10312,439,87
1672,111,15
5816,993,367
6315,169,56
8138,89,1
5121,39,3
2856,1944,194
4630,3,1
6307,111,49
4948,41,3
2275,247,80
4418,48,2
8500,521,44
8747,874,61
2045,112,20
6621,55,2
3813,10,0
10142,421,43
1295,126,13
11316,1034,168
591,5033,1201
10883,215,39
221,11812,1331
7753,13,1
9737,497,117
6954,11,1
9960,50,3
858,264,17
7567,77,9
4879,108,8
4635,79,7
11614,57,3
841,175,29
4176,41,7
7150,56,3
5545,2276,353
10661,212,43
3703,106,13
994,60,3
6216,200,101
6208,136,42
1554,115,15
8524,793,80
7087,293,120
7219,47,2
11193,573,52
9051,51,2
9624,979,64
3559,32,0
2848,140,5
6071,415,101
11710,386,41
4851,23,0
2513,158,9
4900,14,1
1463,104,7
10385,544,25
7924,5,2
4597,37,9
2835,370,7
4344,20,1
8506,23,0
2233,214,56
3050,38,0
7713,30,1
7653,6,0
400,1768,239
4679,14,3
8076,22,1
8640,515,8
7243,33,1
8049,121,35
11404,120,5
7856,155,17
9904,612,92
1023,344,45
3298,4,0
4100,77,8
9166,305,170
59,6018,72
5030,15,2
9763,319,35
11177,645,36
4885,20,0
6784,78,10
1328,68,4
6532,574,123
3351,24,1
4889,13,2
168,4296,450
3279,25,0
10128,383,94
8102,335,36
6147,542,118
8871,2,0
1550,513,103
1009,175,12
7681,341,19
2554,429,20
11268,2089,330
1612,278,40
2737,1028,484
3455,13,0
7726,65,6
10914,676,37
8255,81,1
648,7070,660
8440,1133,110
2862,101,5
879,528,49
4509,4,0
7836,48,2
2303,86,1
11435,108,12
1624,299,30
550,4945,882
6800,95,17
8936,526,52
9850,0,0
4345,100,8
10414,451,102
6018,382,163
211,5401,498
9933,22,4
5566,2090,198
9536,285,25
3232,5,0
5605,6012,2228
7695,129,2
3543,40,0
68,865,51
1438,265,35
2515,2619,203
2868,2017,411
8009,106,12
6449,9,14
9978,411,35
696,256,18
8650,68,0
8876,339,22
7874,78,4
3883,90,2
8374,361,32
1314,82,3
6651,91,15
8349,423,44
6605,457,75
9549,1311,259
8095,19,1
12,305,27
